문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
17 ÷ 5의 몫,3,,,,5×3=15. 한 번 더 하면 17보다 커져,몫,
17 ÷ 5의 나머지,2,,,,5 × 3 = 15. 17에서 그걸 빼면?,나머지,
23 ÷ 4의 몫,5,,,,4×5=20. 한 번 더 하면 23보다 커져,몫,
23 ÷ 4의 나머지,3,,,,4 × 5 = 20. 23에서 그걸 빼면?,나머지,
30 ÷ 7의 몫,4,,,,7×4=28. 한 번 더 하면 30보다 커져,몫,
30 ÷ 7의 나머지,2,,,,7 × 4 = 28. 30에서 그걸 빼면?,나머지,
19 ÷ 6의 몫,3,,,,6×3=18. 한 번 더 하면 19보다 커져,몫,
19 ÷ 6의 나머지,1,,,,6 × 3 = 18. 19에서 그걸 빼면?,나머지,
25 ÷ 3의 몫,8,,,,3×8=24. 한 번 더 하면 25보다 커져,몫,
25 ÷ 3의 나머지,1,,,,3 × 8 = 24. 25에서 그걸 빼면?,나머지,
38 ÷ 8의 몫,4,,,,8×4=32. 한 번 더 하면 38보다 커져,몫,
38 ÷ 8의 나머지,6,,,,8 × 4 = 32. 38에서 그걸 빼면?,나머지,
41 ÷ 9의 몫,4,,,,9×4=36. 한 번 더 하면 41보다 커져,몫,
41 ÷ 9의 나머지,5,,,,9 × 4 = 36. 41에서 그걸 빼면?,나머지,
29 ÷ 6의 몫,4,,,,6×4=24. 한 번 더 하면 29보다 커져,몫,
29 ÷ 6의 나머지,5,,,,6 × 4 = 24. 29에서 그걸 빼면?,나머지,
34 ÷ 5의 몫,6,,,,5×6=30. 한 번 더 하면 34보다 커져,몫,
34 ÷ 5의 나머지,4,,,,5 × 6 = 30. 34에서 그걸 빼면?,나머지,
47 ÷ 7의 몫,6,,,,7×6=42. 한 번 더 하면 47보다 커져,몫,
47 ÷ 7의 나머지,5,,,,7 × 6 = 42. 47에서 그걸 빼면?,나머지,
52 ÷ 8의 몫,6,,,,8×6=48. 한 번 더 하면 52보다 커져,몫,
52 ÷ 8의 나머지,4,,,,8 × 6 = 48. 52에서 그걸 빼면?,나머지,
45 ÷ 6의 몫,7,,,,6×7=42. 한 번 더 하면 45보다 커져,몫,
45 ÷ 6의 나머지,3,,,,6 × 7 = 42. 45에서 그걸 빼면?,나머지,
61 ÷ 9의 몫,6,,,,9×6=54. 한 번 더 하면 61보다 커져,몫,
61 ÷ 9의 나머지,7,,,,9 × 6 = 54. 61에서 그걸 빼면?,나머지,
37 ÷ 4의 몫,9,,,,4×9=36. 한 번 더 하면 37보다 커져,몫,
37 ÷ 4의 나머지,1,,,,4 × 9 = 36. 37에서 그걸 빼면?,나머지,
58 ÷ 7의 몫,8,,,,7×8=56. 한 번 더 하면 58보다 커져,몫,
58 ÷ 7의 나머지,2,,,,7 × 8 = 56. 58에서 그걸 빼면?,나머지,
72 ÷ ? = 9 일 때 ?는 얼마일까?,8,,,,9이(가) 몇 번 모이면 72이(가) 될까?,빈칸 나눗셈,
84 ÷ ? = 12 일 때 ?는 얼마일까?,7,,,,12이(가) 몇 번 모이면 84이(가) 될까?,빈칸 나눗셈,
96 ÷ ? = 16 일 때 ?는 얼마일까?,6,,,,16이(가) 몇 번 모이면 96이(가) 될까?,빈칸 나눗셈,
78 ÷ ? = 13 일 때 ?는 얼마일까?,6,,,,13이(가) 몇 번 모이면 78이(가) 될까?,빈칸 나눗셈,
85 ÷ ? = 17 일 때 ?는 얼마일까?,5,,,,17이(가) 몇 번 모이면 85이(가) 될까?,빈칸 나눗셈,
51 ÷ ? = 17 일 때 ?는 얼마일까?,3,,,,17이(가) 몇 번 모이면 51이(가) 될까?,빈칸 나눗셈,
68 ÷ ? = 17 일 때 ?는 얼마일까?,4,,,,17이(가) 몇 번 모이면 68이(가) 될까?,빈칸 나눗셈,
92 ÷ ? = 23 일 때 ?는 얼마일까?,4,,,,23이(가) 몇 번 모이면 92이(가) 될까?,빈칸 나눗셈,
87 ÷ ? = 29 일 때 ?는 얼마일까?,3,,,,29이(가) 몇 번 모이면 87이(가) 될까?,빈칸 나눗셈,
76 ÷ ? = 19 일 때 ?는 얼마일까?,4,,,,19이(가) 몇 번 모이면 76이(가) 될까?,빈칸 나눗셈,
91 ÷ ? = 13 일 때 ?는 얼마일까?,7,,,,13이(가) 몇 번 모이면 91이(가) 될까?,빈칸 나눗셈,
98 ÷ ? = 14 일 때 ?는 얼마일까?,7,,,,14이(가) 몇 번 모이면 98이(가) 될까?,빈칸 나눗셈,
81 ÷ ? = 9 일 때 ?는 얼마일까?,9,,,,9이(가) 몇 번 모이면 81이(가) 될까?,빈칸 나눗셈,
90 ÷ ? = 15 일 때 ?는 얼마일까?,6,,,,15이(가) 몇 번 모이면 90이(가) 될까?,빈칸 나눗셈,
64 ÷ ? = 16 일 때 ?는 얼마일까?,4,,,,16이(가) 몇 번 모이면 64이(가) 될까?,빈칸 나눗셈,
사탕 23개를 4명에게 똑같이 나눠주면 몇 개가 남을까?,3,,,,4×5=20. 23에서 그걸 빼,나머지 문장제,심화
사탕 34개를 5명에게 똑같이 나눠주면 몇 개가 남을까?,4,,,,5×6=30. 34에서 그걸 빼,나머지 문장제,심화
사탕 47개를 6명에게 똑같이 나눠주면 몇 개가 남을까?,5,,,,6×7=42. 47에서 그걸 빼,나머지 문장제,심화
사탕 29개를 3명에게 똑같이 나눠주면 몇 개가 남을까?,2,,,,3×9=27. 29에서 그걸 빼,나머지 문장제,심화
사탕 52개를 7명에게 똑같이 나눠주면 몇 개가 남을까?,3,,,,7×7=49. 52에서 그걸 빼,나머지 문장제,심화
귤 30개를 한 상자에 4개씩 담으면 몇 상자가 될까?,7,,,,다 못 채운 상자는 세지 않아,나머지 문장제,심화
귤 45개를 한 상자에 7개씩 담으면 몇 상자가 될까?,6,,,,다 못 채운 상자는 세지 않아,나머지 문장제,심화
귤 38개를 한 상자에 5개씩 담으면 몇 상자가 될까?,7,,,,다 못 채운 상자는 세지 않아,나머지 문장제,심화
귤 53개를 한 상자에 6개씩 담으면 몇 상자가 될까?,8,,,,다 못 채운 상자는 세지 않아,나머지 문장제,심화
귤 26개를 한 상자에 3개씩 담으면 몇 상자가 될까?,8,,,,다 못 채운 상자는 세지 않아,나머지 문장제,심화
17 ÷ 5에서 몫과 나머지를 더하면 얼마일까?,5,,,,"몫은 3, 나머지는 2야",두 단계,심화
23 ÷ 4에서 몫과 나머지를 더하면 얼마일까?,8,,,,"몫은 5, 나머지는 3야",두 단계,심화
30 ÷ 7에서 몫과 나머지를 더하면 얼마일까?,6,,,,"몫은 4, 나머지는 2야",두 단계,심화
41 ÷ 9에서 몫과 나머지를 더하면 얼마일까?,9,,,,"몫은 4, 나머지는 5야",두 단계,심화
58 ÷ 7에서 몫과 나머지를 더하면 얼마일까?,10,,,,"몫은 8, 나머지는 2야",두 단계,심화
108 ÷ 12,9,,,,곱셈으로 바꿔봐. 12 × ? = 108,두 자리로 나누기,심화
96 ÷ 12,8,,,,곱셈으로 바꿔봐. 12 × ? = 96,두 자리로 나누기,심화
84 ÷ 12,7,,,,곱셈으로 바꿔봐. 12 × ? = 84,두 자리로 나누기,심화
72 ÷ 12,6,,,,곱셈으로 바꿔봐. 12 × ? = 72,두 자리로 나누기,심화
91 ÷ 13,7,,,,곱셈으로 바꿔봐. 13 × ? = 91,두 자리로 나누기,심화
98 ÷ 14,7,,,,곱셈으로 바꿔봐. 14 × ? = 98,두 자리로 나누기,심화
105 ÷ 15,7,,,,곱셈으로 바꿔봐. 15 × ? = 105,두 자리로 나누기,심화
112 ÷ 16,7,,,,곱셈으로 바꿔봐. 16 × ? = 112,두 자리로 나누기,심화
102 ÷ 17,6,,,,곱셈으로 바꿔봐. 17 × ? = 102,두 자리로 나누기,심화
126 ÷ 18,7,,,,곱셈으로 바꿔봐. 18 × ? = 126,두 자리로 나누기,심화
114 ÷ 19,6,,,,곱셈으로 바꿔봐. 19 × ? = 114,두 자리로 나누기,심화
120 ÷ 20,6,,,,곱셈으로 바꿔봐. 20 × ? = 120,두 자리로 나누기,심화
132 ÷ 22,6,,,,곱셈으로 바꿔봐. 22 × ? = 132,두 자리로 나누기,심화
150 ÷ 25,6,,,,곱셈으로 바꿔봐. 25 × ? = 150,두 자리로 나누기,심화
168 ÷ 24,7,,,,곱셈으로 바꿔봐. 24 × ? = 168,두 자리로 나누기,심화
