문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
123 × 2,246,,,,일의 자리부터. 3×2가 먼저야,세 자리 × 한 자리,
214 × 3,642,,,,일의 자리부터. 4×3가 먼저야,세 자리 × 한 자리,
312 × 3,936,,,,일의 자리부터. 2×3가 먼저야,세 자리 × 한 자리,
132 × 4,528,,,,일의 자리부터. 2×4가 먼저야,세 자리 × 한 자리,
203 × 4,812,,,,일의 자리부터. 3×4가 먼저야,세 자리 × 한 자리,
341 × 2,682,,,,일의 자리부터. 1×2가 먼저야,세 자리 × 한 자리,
412 × 2,824,,,,일의 자리부터. 2×2가 먼저야,세 자리 × 한 자리,
230 × 3,690,,,,일의 자리부터. 0×3가 먼저야,세 자리 × 한 자리,
104 × 5,520,,,,일의 자리부터. 4×5가 먼저야,세 자리 × 한 자리,
321 × 3,963,,,,일의 자리부터. 1×3가 먼저야,세 자리 × 한 자리,
247 × 3,741,,,,일의 자리부터. 7×3가 먼저야,세 자리 × 한 자리,
358 × 2,716,,,,일의 자리부터. 8×2가 먼저야,세 자리 × 한 자리,
469 × 4,1876,,,,일의 자리부터. 9×4가 먼저야,세 자리 × 한 자리,
576 × 3,1728,,,,일의 자리부터. 6×3가 먼저야,세 자리 × 한 자리,
683 × 5,3415,,,,일의 자리부터. 3×5가 먼저야,세 자리 × 한 자리,
794 × 2,1588,,,,일의 자리부터. 4×2가 먼저야,세 자리 × 한 자리,
825 × 4,3300,,,,일의 자리부터. 5×4가 먼저야,세 자리 × 한 자리,
937 × 3,2811,,,,일의 자리부터. 7×3가 먼저야,세 자리 × 한 자리,
158 × 6,948,,,,일의 자리부터. 8×6가 먼저야,세 자리 × 한 자리,
269 × 7,1883,,,,일의 자리부터. 9×7가 먼저야,세 자리 × 한 자리,
12 × 13,156,,,,12×3 하고 12×10 해서 더해봐,두 자리 × 두 자리,
21 × 14,294,,,,21×4 하고 21×10 해서 더해봐,두 자리 × 두 자리,
23 × 12,276,,,,23×2 하고 23×10 해서 더해봐,두 자리 × 두 자리,
31 × 23,713,,,,31×3 하고 31×20 해서 더해봐,두 자리 × 두 자리,
42 × 11,462,,,,42×1 하고 42×10 해서 더해봐,두 자리 × 두 자리,
15 × 22,330,,,,15×2 하고 15×20 해서 더해봐,두 자리 × 두 자리,
24 × 31,744,,,,24×1 하고 24×30 해서 더해봐,두 자리 × 두 자리,
33 × 12,396,,,,33×2 하고 33×10 해서 더해봐,두 자리 × 두 자리,
16 × 21,336,,,,16×1 하고 16×20 해서 더해봐,두 자리 × 두 자리,
25 × 13,325,,,,25×3 하고 25×10 해서 더해봐,두 자리 × 두 자리,
34 × 26,884,,,,34×6 하고 34×20 해서 더해봐,두 자리 × 두 자리,
47 × 35,1645,,,,47×5 하고 47×30 해서 더해봐,두 자리 × 두 자리,
58 × 24,1392,,,,58×4 하고 58×20 해서 더해봐,두 자리 × 두 자리,
63 × 47,2961,,,,63×7 하고 63×40 해서 더해봐,두 자리 × 두 자리,
72 × 38,2736,,,,72×8 하고 72×30 해서 더해봐,두 자리 × 두 자리,
86 × 25,2150,,,,86×5 하고 86×20 해서 더해봐,두 자리 × 두 자리,
94 × 17,1598,,,,94×7 하고 94×10 해서 더해봐,두 자리 × 두 자리,
55 × 44,2420,,,,55×4 하고 55×40 해서 더해봐,두 자리 × 두 자리,
67 × 53,3551,,,,67×3 하고 67×50 해서 더해봐,두 자리 × 두 자리,
78 × 62,4836,,,,78×2 하고 78×60 해서 더해봐,두 자리 × 두 자리,
한 상자에 125개씩 4상자면 모두 몇 개일까?,500,,,,125×4을(를) 하면 돼,곱셈 문장제,심화
한 상자에 238개씩 3상자면 모두 몇 개일까?,714,,,,238×3을(를) 하면 돼,곱셈 문장제,심화
한 상자에 146개씩 5상자면 모두 몇 개일까?,730,,,,146×5을(를) 하면 돼,곱셈 문장제,심화
한 상자에 307개씩 6상자면 모두 몇 개일까?,1842,,,,307×6을(를) 하면 돼,곱셈 문장제,심화
한 상자에 219개씩 7상자면 모두 몇 개일까?,1533,,,,219×7을(를) 하면 돼,곱셈 문장제,심화
24쪽짜리 책을 15권 읽으면 모두 몇 쪽일까?,360,,,,24×5 하고 24×10 해서 더해,곱셈 문장제,심화
36쪽짜리 책을 12권 읽으면 모두 몇 쪽일까?,432,,,,36×2 하고 36×10 해서 더해,곱셈 문장제,심화
45쪽짜리 책을 23권 읽으면 모두 몇 쪽일까?,1035,,,,45×3 하고 45×20 해서 더해,곱셈 문장제,심화
58쪽짜리 책을 14권 읽으면 모두 몇 쪽일까?,812,,,,58×4 하고 58×10 해서 더해,곱셈 문장제,심화
27쪽짜리 책을 32권 읽으면 모두 몇 쪽일까?,864,,,,27×2 하고 27×30 해서 더해,곱셈 문장제,심화
? × 4 = 268 일 때 ?는 얼마일까?,67,,,,268을(를) 4(으)로 나누면 돼,거꾸로 곱셈,심화
? × 3 = 219 일 때 ?는 얼마일까?,73,,,,219을(를) 3(으)로 나누면 돼,거꾸로 곱셈,심화
? × 6 = 342 일 때 ?는 얼마일까?,57,,,,342을(를) 6(으)로 나누면 돼,거꾸로 곱셈,심화
? × 5 = 285 일 때 ?는 얼마일까?,57,,,,285을(를) 5(으)로 나누면 돼,거꾸로 곱셈,심화
? × 7 = 371 일 때 ?는 얼마일까?,53,,,,371을(를) 7(으)로 나누면 돼,거꾸로 곱셈,심화
