문제,정답,오답1,오답2,오답3,힌트,묶음
12 × 3,36,,,,10×3 하고 2×3 해서 더해봐,올림 없는 곱셈
21 × 4,84,,,,20×4 하고 1×4 해서 더해봐,올림 없는 곱셈
31 × 3,93,,,,30×3 하고 1×3 해서 더해봐,올림 없는 곱셈
23 × 2,46,,,,20×2 하고 3×2 해서 더해봐,올림 없는 곱셈
32 × 3,96,,,,30×3 하고 2×3 해서 더해봐,올림 없는 곱셈
11 × 7,77,,,,10×7 하고 1×7 해서 더해봐,올림 없는 곱셈
41 × 2,82,,,,40×2 하고 1×2 해서 더해봐,올림 없는 곱셈
13 × 3,39,,,,10×3 하고 3×3 해서 더해봐,올림 없는 곱셈
22 × 4,88,,,,20×4 하고 2×4 해서 더해봐,올림 없는 곱셈
24 × 2,48,,,,20×2 하고 4×2 해서 더해봐,올림 없는 곱셈
17 × 3,51,,,,7×3부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
26 × 4,104,,,,6×4부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
38 × 2,76,,,,8×2부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
45 × 3,135,,,,5×3부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
27 × 6,162,,,,7×6부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
49 × 2,98,,,,9×2부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
56 × 3,168,,,,6×3부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
34 × 5,170,,,,4×5부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
63 × 4,252,,,,3×4부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
78 × 2,156,,,,8×2부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
19 × 5,95,,,,9×5부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
28 × 7,196,,,,8×7부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
36 × 6,216,,,,6×6부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
47 × 4,188,,,,7×4부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
52 × 8,416,,,,2×8부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
64 × 3,192,,,,4×3부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
73 × 5,365,,,,3×5부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
85 × 2,170,,,,5×2부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
96 × 4,384,,,,6×4부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
58 × 6,348,,,,8×6부터. 십의 자리로 올려주는 거 잊지 마,올림 있는 곱셈
